ts_ms,equity
1754705233440,10000.5
1754705243445,10001.0
1754705253454,10001.5
1754705263459,10002.0
1754705273464,10002.5
1754705283469,10003.0
1754705293473,10003.5
1754705303479,10004.0
1754705313484,10004.5
1754705737382,10001.229749771053
1754705808466,10000.459107037332
1754705868472,9999.566804299184
1754705928476,10000.825549710273
1754706061116,10000.0
1754706121010,10000.0
1754706181000,10000.0
1754706241055,10000.0
1754706301045,10000.0
1754706361065,10000.0
1754706421081,10000.0
1754706481043,10000.0
1754706541034,10000.0
1754706601045,10000.0
1754706661221,10000.0
1754706721033,10000.0
1754706780994,10000.0
1754706841007,10000.0
1754706901026,10000.0
1754706961020,10000.0
1754707021012,10000.0
1754707081063,10000.0
1754707141036,10000.0
1754707200997,10000.0
1754707261079,10000.0
1754707321483,10000.0
1754707381031,10000.0
1754707440993,10000.0
1754707501005,10000.0
1754707561047,10000.0
1754707621019,10000.0
1754707681036,10000.0
1754707741017,10000.0
1754707800993,10000.0
1754707861581,10000.0
1754707920987,10000.0
1754707981017,10000.0
1754708041040,10000.0
1754708101016,10000.0
1754708161041,10000.0
1754708220969,10000.0
1754708281057,10000.0
1754708341001,10000.0
1754708401024,10000.0
1754708461015,10000.0
1754708520984,10000.0
1754708581019,10000.0
1754708641010,10000.0
1754708701008,10000.0
1754708761203,10000.0
1754708821004,10000.0
1754708881072,10000.0
1754708941011,10000.0
1754709001007,10000.0
1754709061125,10000.0
1754709121005,10000.0
1754709181084,10000.0
1754709241006,10000.0
1754709301037,10000.0
1754712443420,10000.0
1754715806177,10000.0
1754747223009,10000.0
1754747282751,10000.0
1754747341765,10000.0
1754747401448,10000.0
1754747462207,10000.0
1754747521525,10000.0
